iter	Passed	Remaining
307	2054	4616
308	2061	4610
309	2066	4599
310	2072	4590
311	2077	4581
312	2082	4570
313	2087	4560
314	2092	4551
315	2097	4540
316	2103	4532
317	2109	4523
318	2114	4513
319	2119	4503
320	2124	4493
321	2128	4482
322	2134	4473
323	2139	4463
324	2144	4454
325	2149	4444
326	2154	4434
327	2159	4423
328	2167	4420
329	2172	4411
330	2177	4400
331	2182	4391
332	2187	4382
333	2193	4373
334	2198	4363
335	2203	4355
336	2209	4346
337	2213	4336
338	2218	4325
339	2223	4316
340	2229	4308
341	2237	4304
342	2242	4294
343	2247	4285
344	2252	4276
345	2257	4266
346	2261	4256
347	2267	4248
348	2271	4237
349	2276	4227
350	2281	4218
351	2286	4209
352	2291	4199
353	2297	4192
354	2302	4182
355	2306	4172
356	2311	4163
357	2316	4153
358	2320	4143
359	2325	4134
360	2330	4124
361	2334	4114
362	2339	4104
363	2344	4096
364	2349	4087
365	2353	4077
366	2358	4067
367	2363	4059
368	2367	4049
369	2372	4039
370	2376	4029
371	2382	4021
372	2386	4011
373	2391	4002
374	2395	3992
375	2400	3984
376	2405	3974
377	2410	3966
378	2414	3956
379	2419	3948
380	2424	3939
381	2431	3934
382	2438	3927
383	2445	3922
384	2451	3915
385	2457	3909
386	2463	3901
387	2468	3894
388	2475	3888
389	2482	3882
390	2489	3876
391	2494	3869
392	2500	3862
393	2507	3856
394	2513	3849
395	2520	3843
396	2527	3838
397	2535	3835
398	2542	3829
399	2551	3827
400	2560	3824
401	2567	3818
402	2574	3813
403	2582	3809
404	2588	3802
405	2595	3796
406	2600	3789
407	2606	3782
408	2613	3777
409	2620	3770
410	2626	3764
411	2632	3757
412	2639	3751
413	2646	3745
